lat0 37.792480, lon0 -122.397450
posX,posY,posZ,halfSizeX,halfSizeY,halfSizeZ
-170.2389,-409.2315,26.5,5,5,26.5
-160.2389,-409.2315,26.5,5,5,26.5
-150.2389,-409.2315,26.5,5,5,26.5
-140.2389,-409.2315,26.5,5,5,26.5
-130.2389,-409.2315,26.5,5,5,26.5
-120.2389,-409.2315,26.5,5,5,26.5
-110.2389,-409.2315,27.5,5,5,27.5
-100.2389,-409.2315,8,5,5,8
-90.23886,-409.2315,8,5,5,8
-80.23886,-409.2315,8,5,5,8
-70.23886,-409.2315,8,5,5,8
-40.23886,-409.2315,20.5,5,5,20.5
-30.23886,-409.2315,20.5,5,5,20.5
-20.23886,-409.2315,20.5,5,5,20.5
169.7611,-409.2315,20.5,5,5,20.5
179.7611,-409.2315,20.5,5,5,20.5
189.7611,-409.2315,20.5,5,5,20.5
199.7611,-409.2315,20.5,5,5,20.5
229.7611,-409.2315,10.5,5,5,10.5
239.7611,-409.2315,10.5,5,5,10.5
249.7611,-409.2315,10.5,5,5,10.5
259.7611,-409.2315,10.5,5,5,10.5
269.7611,-409.2315,10.5,5,5,10.5
289.7611,-409.2315,40.5,5,5,40.5
299.7611,-409.2315,40.5,5,5,40.5
309.7611,-409.2315,40.5,5,5,40.5
319.7611,-409.2315,40.5,5,5,40.5
359.7611,-409.2315,17,5,5,17
369.7611,-409.2315,17,5,5,17
379.7611,-409.2315,17,5,5,17
389.7611,-409.2315,17,5,5,17
399.7611,-409.2315,17,5,5,17
419.7611,-409.2315,4,5,5,4
429.7611,-409.2315,4,5,5,4
439.7611,-409.2315,4,5,5,4
449.7611,-409.2315,4,5,5,4
549.7611,-409.2315,12.5,5,5,12.5
569.7611,-409.2315,12.5,5,5,12.5
579.7611,-409.2315,12.5,5,5,12.5
-310.2389,-399.2315,85.5,5,5,85.5
-300.2389,-399.2315,85.5,5,5,85.5
-290.2389,-399.2315,7,5,5,7
-280.2389,-399.2315,7,5,5,7
-270.2389,-399.2315,7,5,5,7
-260.2389,-399.2315,7,5,5,7
-220.2389,-399.2315,50,5,5,50
-210.2389,-399.2315,50,5,5,50
-200.2389,-399.2315,50,5,5,50
-170.2389,-399.2315,26.5,5,5,26.5
-160.2389,-399.2315,26.5,5,5,26.5
-150.2389,-399.2315,26.5,5,5,26.5
-140.2389,-399.2315,26.5,5,5,26.5
-130.2389,-399.2315,26.5,5,5,26.5
-120.2389,-399.2315,26.5,5,5,26.5
-110.2389,-399.2315,27.5,5,5,27.5
-100.2389,-399.2315,8,5,5,8
-90.23886,-399.2315,8,5,5,8
-80.23886,-399.2315,8,5,5,8
109.7611,-399.2315,49.5,5,5,49.5
119.7611,-399.2315,49.5,5,5,49.5
129.7611,-399.2315,49.5,5,5,49.5
139.7611,-399.2315,49.5,5,5,49.5
159.7611,-399.2315,20.5,5,5,20.5
169.7611,-399.2315,20.5,5,5,20.5
179.7611,-399.2315,20.5,5,5,20.5
189.7611,-399.2315,20.5,5,5,20.5
199.7611,-399.2315,20.5,5,5,20.5
229.7611,-399.2315,10.5,5,5,10.5
239.7611,-399.2315,10.5,5,5,10.5
249.7611,-399.2315,10.5,5,5,10.5
259.7611,-399.2315,10.5,5,5,10.5
269.7611,-399.2315,10.5,5,5,10.5
289.7611,-399.2315,40.5,5,5,40.5
299.7611,-399.2315,40.5,5,5,40.5
309.7611,-399.2315,40.5,5,5,40.5
319.7612,-399.2315,40.5,5,5,40.5
359.7611,-399.2315,17,5,5,17
369.7611,-399.2315,17,5,5,17
379.7611,-399.2315,17,5,5,17
389.7611,-399.2315,17,5,5,17
399.7611,-399.2315,17,5,5,17
419.7611,-399.2315,6,5,5,6
429.7611,-399.2315,6,5,5,6
439.7611,-399.2315,6,5,5,6
449.7611,-399.2315,6,5,5,6
489.7611,-399.2315,12.5,5,5,12.5
499.7611,-399.2315,12.5,5,5,12.5
519.7611,-399.2315,12.5,5,5,12.5
529.7611,-399.2315,12.5,5,5,12.5
539.7611,-399.2315,12.5,5,5,12.5
549.7611,-399.2315,12.5,5,5,12.5
569.7611,-399.2315,12.5,5,5,12.5
579.7611,-399.2315,12.5,5,5,12.5
-300.2389,-389.2315,7,5,5,7
-290.2389,-389.2315,7,5,5,7
-280.2389,-389.2315,7,5,5,7
-270.2389,-389.2315,7,5,5,7
-260.2389,-389.2315,7,5,5,7
-250.2389,-389.2315,50,5,5,50
-240.2389,-389.2315,50,5,5,50
-230.2389,-389.2315,50,5,5,50
-220.2389,-389.2315,50,5,5,50
-210.2389,-389.2315,50,5,5,50
-200.2389,-389.2315,50,5,5,50
-160.2389,-389.2315,26.5,5,5,26.5
-150.2389,-389.2315,26.5,5,5,26.5
39.76114,-389.2315,40.5,5,5,40.5
49.76114,-389.2315,40.5,5,5,40.5
59.76114,-389.2315,40.5,5,5,40.5
69.76114,-389.2315,40.5,5,5,40.5
109.7611,-389.2315,49.5,5,5,49.5
119.7611,-389.2315,49.5,5,5,49.5
129.7611,-389.2315,49.5,5,5,49.5
139.7611,-389.2315,49.5,5,5,49.5
169.7611,-389.2315,20.5,5,5,20.5
179.7611,-389.2315,20.5,5,5,20.5
189.7611,-389.2315,20.5,5,5,20.5
199.7611,-389.2315,20.5,5,5,20.5
229.7611,-389.2315,10.5,5,5,10.5
239.7611,-389.2315,10.5,5,5,10.5
299.7611,-389.2315,40.5,5,5,40.5
309.7611,-389.2315,40.5,5,5,40.5
319.7612,-389.2315,40.5,5,5,40.5
389.7611,-389.2315,12.5,5,5,12.5
399.7611,-389.2315,12.5,5,5,12.5
429.7611,-389.2315,6,5,5,6
439.7611,-389.2315,6,5,5,6
449.7611,-389.2315,6,5,5,6
489.7611,-389.2315,12.5,5,5,12.5
499.7611,-389.2315,12.5,5,5,12.5
529.7611,-389.2315,12.5,5,5,12.5
539.7611,-389.2315,12.5,5,5,12.5
559.7611,-389.2315,12.5,5,5,12.5
569.7611,-389.2315,12.5,5,5,12.5
579.7611,-389.2315,12.5,5,5,12.5
-300.2389,-379.2315,7,5,5,7
-290.2389,-379.2315,7,5,5,7
-280.2389,-379.2315,7,5,5,7
-270.2389,-379.2315,7,5,5,7
-260.2389,-379.2315,7,5,5,7
-250.2389,-379.2315,50,5,5,50
-240.2389,-379.2315,50,5,5,50
-230.2389,-379.2315,50,5,5,50
-220.2389,-379.2315,50,5,5,50
-210.2389,-379.2315,50,5,5,50
-200.2389,-379.2315,50,5,5,50
-20.23886,-379.2315,34.5,5,5,34.5
39.76114,-379.2315,40.5,5,5,40.5
49.76114,-379.2315,40.5,5,5,40.5
59.76114,-379.2315,40.5,5,5,40.5
69.76114,-379.2315,40.5,5,5,40.5
109.7611,-379.2315,49.5,5,5,49.5
119.7611,-379.2315,49.5,5,5,49.5
129.7611,-379.2315,49.5,5,5,49.5
139.7611,-379.2315,49.5,5,5,49.5
149.7611,-379.2315,49.5,5,5,49.5
169.7611,-379.2315,20.5,5,5,20.5
179.7611,-379.2315,20.5,5,5,20.5
189.7611,-379.2315,20.5,5,5,20.5
199.7611,-379.2315,20.5,5,5,20.5
239.7611,-379.2315,10.5,5,5,10.5
299.7611,-379.2315,40.5,5,5,40.5
309.7611,-379.2315,40.5,5,5,40.5
319.7611,-379.2315,40.5,5,5,40.5
389.7611,-379.2315,12.5,5,5,12.5
399.7611,-379.2315,12.5,5,5,12.5
429.7611,-379.2315,6.5,5,5,6.5
439.7611,-379.2315,6.5,5,5,6.5
449.7611,-379.2315,13,5,5,13
459.7611,-379.2315,13,5,5,13
489.7611,-379.2315,12.5,5,5,12.5
499.7611,-379.2315,12.5,5,5,12.5
509.7611,-379.2315,12.5,5,5,12.5
519.7611,-379.2315,12.5,5,5,12.5
529.7611,-379.2315,12.5,5,5,12.5
539.7611,-379.2315,12.5,5,5,12.5
549.7611,-379.2315,12.5,5,5,12.5
559.7611,-379.2315,12.5,5,5,12.5
569.7611,-379.2315,12.5,5,5,12.5
579.7611,-379.2315,12.5,5,5,12.5
589.7611,-379.2315,12.5,5,5,12.5
-300.2389,-369.2315,7,5,5,7
-290.2389,-369.2315,7,5,5,7
-280.2389,-369.2315,7,5,5,7
-100.2389,-369.2315,14,5,5,14
-80.23886,-369.2315,37.5,5,5,37.5
-70.23886,-369.2315,37.5,5,5,37.5
-30.23886,-369.2315,34.5,5,5,34.5
-20.23886,-369.2315,34.5,5,5,34.5
9.761139,-369.2315,106,5,5,106
19.76114,-369.2315,106,5,5,106
69.76114,-369.2315,40.5,5,5,40.5
109.7611,-369.2315,49.5,5,5,49.5
119.7611,-369.2315,49.5,5,5,49.5
129.7611,-369.2315,49.5,5,5,49.5
139.7611,-369.2315,49.5,5,5,49.5
149.7611,-369.2315,49.5,5,5,49.5
239.7611,-369.2315,10.5,5,5,10.5
249.7611,-369.2315,10.5,5,5,10.5
299.7611,-369.2315,40.5,5,5,40.5
309.7611,-369.2315,40.5,5,5,40.5
319.7612,-369.2315,40.5,5,5,40.5
329.7611,-369.2315,40.5,5,5,40.5
369.7611,-369.2315,12.5,5,5,12.5
379.7611,-369.2315,12.5,5,5,12.5
389.7611,-369.2315,12.5,5,5,12.5
399.7611,-369.2315,12.5,5,5,12.5
429.7611,-369.2315,6.5,5,5,6.5
439.7611,-369.2315,6.5,5,5,6.5
449.7611,-369.2315,13,5,5,13
459.7611,-369.2315,13,5,5,13
489.7611,-369.2315,12.5,5,5,12.5
499.7611,-369.2315,12.5,5,5,12.5
509.7611,-369.2315,12.5,5,5,12.5
519.7611,-369.2315,12.5,5,5,12.5
529.7611,-369.2315,12.5,5,5,12.5
539.7611,-369.2315,12.5,5,5,12.5
549.7611,-369.2315,12.5,5,5,12.5
559.7611,-369.2315,12.5,5,5,12.5
569.7611,-369.2315,12.5,5,5,12.5
-160.2389,-359.2315,29,5,5,29
-150.2389,-359.2315,29,5,5,29
-140.2389,-359.2315,29,5,5,29
-130.2389,-359.2315,29,5,5,29
-120.2389,-359.2315,29,5,5,29
-110.2389,-359.2315,14,5,5,14
-100.2389,-359.2315,14,5,5,14
-90.23886,-359.2315,37.5,5,5,37.5
-80.23886,-359.2315,37.5,5,5,37.5
-70.23885,-359.2315,37.5,5,5,37.5
-60.23886,-359.2315,37.5,5,5,37.5
-30.23886,-359.2315,34.5,5,5,34.5
-20.23888,-359.2315,34.5,5,5,34.5
-0.2388611,-359.2315,106,5,5,106
9.761139,-359.2315,106,5,5,106
19.76114,-359.2315,106,5,5,106
29.76114,-359.2315,52.5,5,5,52.5
69.76114,-359.2315,40.5,5,5,40.5
109.7611,-359.2315,49.5,5,5,49.5
119.7611,-359.2315,49.5,5,5,49.5
129.7611,-359.2315,49.5,5,5,49.5
139.7611,-359.2315,49.5,5,5,49.5
189.7611,-359.2315,61.5,5,5,61.5
199.7611,-359.2315,61.5,5,5,61.5
209.7611,-359.2315,61.5,5,5,61.5
239.7611,-359.2315,10.5,5,5,10.5
249.7611,-359.2315,10.5,5,5,10.5
299.7611,-359.2315,40.5,5,5,40.5
309.7611,-359.2315,40.5,5,5,40.5
319.7611,-359.2315,40.5,5,5,40.5
329.7611,-359.2315,40.5,5,5,40.5
369.7611,-359.2315,12.5,5,5,12.5
379.7611,-359.2315,12.5,5,5,12.5
389.7611,-359.2315,12.5,5,5,12.5
399.7611,-359.2315,12.5,5,5,12.5
409.7611,-359.2315,12.5,5,5,12.5
429.7611,-359.2315,6.5,5,5,6.5
439.7611,-359.2315,6.5,5,5,6.5
449.7611,-359.2315,6.5,5,5,6.5
459.7611,-359.2315,13,5,5,13
489.7611,-359.2315,12.5,5,5,12.5
499.7611,-359.2315,12.5,5,5,12.5
-160.2389,-349.2315,29,5,5,29
-150.2389,-349.2315,29,5,5,29
-140.2389,-349.2315,29,5,5,29
-130.2389,-349.2315,29,5,5,29
-120.2389,-349.2315,29,5,5,29
-110.2389,-349.2315,14,5,5,14
-100.2389,-349.2315,14,5,5,14
-90.23887,-349.2315,37.5,5,5,37.5
-80.23886,-349.2315,37.5,5,5,37.5
-70.23886,-349.2315,37.5,5,5,37.5
-60.23886,-349.2315,37.5,5,5,37.5
-30.23888,-349.2315,34.5,5,5,34.5
-20.23886,-349.2315,34.5,5,5,34.5
-0.2388611,-349.2315,52.5,5,5,52.5
9.761139,-349.2315,106,5,5,106
19.76114,-349.2315,106,5,5,106
29.76114,-349.2315,52.5,5,5,52.5
49.76114,-349.2315,40.5,5,5,40.5
59.76114,-349.2315,40.5,5,5,40.5
69.76114,-349.2315,40.5,5,5,40.5
119.7611,-349.2315,49.5,5,5,49.5
129.7611,-349.2315,49.5,5,5,49.5
139.7611,-349.2315,49.5,5,5,49.5
169.7611,-349.2315,61.5,5,5,61.5
179.7611,-349.2315,61.5,5,5,61.5
189.7611,-349.2315,61.5,5,5,61.5
199.7611,-349.2315,61.5,5,5,61.5
209.7611,-349.2315,61.5,5,5,61.5
239.7611,-349.2315,10.5,5,5,10.5
249.7611,-349.2315,10.5,5,5,10.5
259.7611,-349.2315,10.5,5,5,10.5
269.7611,-349.2315,10.5,5,5,10.5
279.7611,-349.2315,10.5,5,5,10.5
309.7611,-349.2315,40.5,5,5,40.5
319.7611,-349.2315,40.5,5,5,40.5
329.7611,-349.2315,40.5,5,5,40.5
369.7611,-349.2315,12.5,5,5,12.5
379.7611,-349.2315,12.5,5,5,12.5
389.7611,-349.2315,12.5,5,5,12.5
399.7611,-349.2315,12.5,5,5,12.5
409.7611,-349.2315,12.5,5,5,12.5
429.7611,-349.2315,6.5,5,5,6.5
439.7611,-349.2315,6.5,5,5,6.5
-160.2389,-339.2315,29,5,5,29
-150.2389,-339.2315,29,5,5,29
-120.2389,-339.2315,29,5,5,29
-100.2389,-339.2315,14,5,5,14
-90.23886,-339.2315,37.5,5,5,37.5
-80.23886,-339.2315,37.5,5,5,37.5
-70.23886,-339.2315,37.5,5,5,37.5
-60.23886,-339.2315,37.5,5,5,37.5
-0.2388611,-339.2315,52.5,5,5,52.5
9.761139,-339.2315,52.5,5,5,52.5
19.76114,-339.2315,52.5,5,5,52.5
29.76114,-339.2315,52.5,5,5,52.5
119.7611,-339.2315,16.5,5,5,16.5
129.7611,-339.2315,16.5,5,5,16.5
139.7611,-339.2315,16.5,5,5,16.5
149.7611,-339.2315,16.5,5,5,16.5
169.7611,-339.2315,61.5,5,5,61.5
179.7611,-339.2315,61.5,5,5,61.5
189.7611,-339.2315,61.5,5,5,61.5
199.7611,-339.2315,61.5,5,5,61.5
209.7611,-339.2315,61.5,5,5,61.5
239.7611,-339.2315,10.5,5,5,10.5
249.7611,-339.2315,10.5,5,5,10.5
259.7611,-339.2315,10.5,5,5,10.5
269.7611,-339.2315,10.5,5,5,10.5
279.7611,-339.2315,10.5,5,5,10.5
319.7611,-339.2315,40.5,5,5,40.5
329.7611,-339.2315,40.5,5,5,40.5
369.7611,-339.2315,12.5,5,5,12.5
-270.2389,-329.2315,3,5,5,3
-260.2389,-329.2315,3,5,5,3
-210.2389,-329.2315,49.5,5,5,49.5
-200.2389,-329.2315,49.5,5,5,49.5
-160.2389,-329.2315,29,5,5,29
-150.2389,-329.2315,29,5,5,29
-140.2389,-329.2315,29,5,5,29
-130.2389,-329.2315,29,5,5,29
-120.2389,-329.2315,29,5,5,29
-110.2389,-329.2315,29,5,5,29
-90.23886,-329.2315,47.5,5,5,47.5
-80.23886,-329.2315,47.5,5,5,47.5
-70.23886,-329.2315,47.5,5,5,47.5
-60.23886,-329.2315,47.5,5,5,47.5
-0.2388611,-329.2315,52.5,5,5,52.5
9.761139,-329.2315,52.5,5,5,52.5
19.76114,-329.2315,106,5,5,106
29.76114,-329.2315,52.5,5,5,52.5
119.7611,-329.2315,16.5,5,5,16.5
129.7611,-329.2315,16.5,5,5,16.5
139.7611,-329.2315,16.5,5,5,16.5
149.7611,-329.2315,16.5,5,5,16.5
159.7611,-329.2315,16.5,5,5,16.5
179.7611,-329.2315,61.5,5,5,61.5
189.7611,-329.2315,61.5,5,5,61.5
199.7611,-329.2315,61.5,5,5,61.5
209.7611,-329.2315,61.5,5,5,61.5
-270.2389,-319.2315,3,5,5,3
-260.2389,-319.2315,3,5,5,3
-220.2389,-319.2315,49.5,5,5,49.5
-210.2389,-319.2315,49.5,5,5,49.5
-200.2389,-319.2315,49.5,5,5,49.5
-160.2389,-319.2315,29,5,5,29
-150.2389,-319.2315,29,5,5,29
-140.2389,-319.2315,29,5,5,29
-130.2389,-319.2315,29,5,5,29
-120.2389,-319.2315,29,5,5,29
-110.2389,-319.2315,29,5,5,29
-100.2389,-319.2315,47.5,5,5,47.5
-90.23886,-319.2315,47.5,5,5,47.5
-80.23886,-319.2315,47.5,5,5,47.5
-70.23887,-319.2315,47.5,5,5,47.5
-60.23886,-319.2315,47.5,5,5,47.5
-20.23885,-319.2315,20,5,5,20
-10.23886,-319.2315,20,5,5,20
-0.2388611,-319.2315,52.5,5,5,52.5
9.761139,-319.2315,52.5,5,5,52.5
19.76114,-319.2315,106,5,5,106
29.76114,-319.2315,52.5,5,5,52.5
49.76114,-319.2315,25.5,5,5,25.5
59.76115,-319.2315,25.5,5,5,25.5
69.76114,-319.2315,25.5,5,5,25.5
119.7611,-319.2315,16.5,5,5,16.5
129.7611,-319.2315,16.5,5,5,16.5
139.7611,-319.2315,16.5,5,5,16.5
149.7611,-319.2315,16.5,5,5,16.5
159.7611,-319.2315,16.5,5,5,16.5
179.7611,-319.2315,61.5,5,5,61.5
189.7611,-319.2315,61.5,5,5,61.5
199.7611,-319.2315,61.5,5,5,61.5
209.7611,-319.2315,61.5,5,5,61.5
219.7611,-319.2315,61.5,5,5,61.5
549.7611,-319.2315,33.5,5,5,33.5
559.7611,-319.2315,33.5,5,5,33.5
569.7611,-319.2315,33.5,5,5,33.5
579.7611,-319.2315,33.5,5,5,33.5
589.7611,-319.2315,33.5,5,5,33.5
599.7611,-319.2315,33.5,5,5,33.5
-270.2389,-309.2315,3,5,5,3
-260.2389,-309.2315,3,5,5,3
-220.2389,-309.2315,49.5,5,5,49.5
-210.2389,-309.2315,49.5,5,5,49.5
-200.2389,-309.2315,49.5,5,5,49.5
-150.2389,-309.2315,1.5,5,5,1.5
-140.2389,-309.2315,1.5,5,5,1.5
-130.2389,-309.2315,1.5,5,5,1.5
-120.2389,-309.2315,1.5,5,5,1.5
-110.2389,-309.2315,1.5,5,5,1.5
-100.2389,-309.2315,47.5,5,5,47.5
-90.23886,-309.2315,47.5,5,5,47.5
-80.23886,-309.2315,47.5,5,5,47.5
-70.23886,-309.2315,47.5,5,5,47.5
-60.23886,-309.2315,47.5,5,5,47.5
-20.23886,-309.2315,20,5,5,20
-10.23888,-309.2315,20,5,5,20
9.761124,-309.2315,106,5,5,106
19.76114,-309.2315,106,5,5,106
29.76114,-309.2315,106,5,5,106
49.76114,-309.2315,25.5,5,5,25.5
69.76114,-309.2315,25.5,5,5,25.5
119.7611,-309.2315,16.5,5,5,16.5
129.7611,-309.2315,16.5,5,5,16.5
139.7611,-309.2315,16.5,5,5,16.5
149.7611,-309.2315,16.5,5,5,16.5
159.7611,-309.2315,16.5,5,5,16.5
179.7611,-309.2315,61.5,5,5,61.5
189.7611,-309.2315,61.5,5,5,61.5
199.7611,-309.2315,61.5,5,5,61.5
209.7611,-309.2315,61.5,5,5,61.5
499.7611,-309.2315,33.5,5,5,33.5
509.7611,-309.2315,33.5,5,5,33.5
519.7611,-309.2315,33.5,5,5,33.5
529.7611,-309.2315,33.5,5,5,33.5
539.7611,-309.2315,33.5,5,5,33.5
549.7611,-309.2315,33.5,5,5,33.5
559.7611,-309.2315,33.5,5,5,33.5
569.7611,-309.2315,33.5,5,5,33.5
579.7611,-309.2315,33.5,5,5,33.5
589.7611,-309.2315,33.5,5,5,33.5
599.7611,-309.2315,33.5,5,5,33.5
-240.2389,-299.2315,49.5,5,5,49.5
-230.2389,-299.2315,49.5,5,5,49.5
-220.2389,-299.2315,49.5,5,5,49.5
-210.2389,-299.2315,49.5,5,5,49.5
-200.2389,-299.2315,49.5,5,5,49.5
-150.2389,-299.2315,24,5,5,24
-140.2389,-299.2315,24,5,5,24
-130.2389,-299.2315,24,5,5,24
-120.2389,-299.2315,24,5,5,24
-110.2389,-299.2315,24,5,5,24
-100.2389,-299.2315,7,5,5,7
-90.23886,-299.2315,7,5,5,7
-80.23887,-299.2315,8.5,5,5,8.5
-70.23885,-299.2315,8.500001,5,5,8.500001
-60.23886,-299.2315,12.5,5,5,12.5
-50.23886,-299.2315,12.5,5,5,12.5
-20.23886,-299.2315,20,5,5,20
-10.23886,-299.2315,20,5,5,20
19.76114,-299.2315,106,5,5,106
59.76113,-299.2315,25.5,5,5,25.5
69.76114,-299.2315,25.5,5,5,25.5
119.7611,-299.2315,16.5,5,5,16.5
129.7611,-299.2315,16.5,5,5,16.5
139.7611,-299.2315,16.5,5,5,16.5
329.7611,-299.2315,14,5,5,14
409.7611,-299.2315,1.5,5,5,1.5
419.7611,-299.2315,1.5,5,5,1.5
429.7611,-299.2315,1.5,5,5,1.5
439.7611,-299.2315,1.5,5,5,1.5
449.7611,-299.2315,1.5,5,5,1.5
499.7611,-299.2315,33.5,5,5,33.5
509.7611,-299.2315,33.5,5,5,33.5
519.7611,-299.2315,33.5,5,5,33.5
529.7611,-299.2315,33.5,5,5,33.5
539.7611,-299.2315,33.5,5,5,33.5
549.7611,-299.2315,33.5,5,5,33.5
559.7611,-299.2315,33.5,5,5,33.5
569.7611,-299.2315,33.5,5,5,33.5
579.7611,-299.2315,33.5,5,5,33.5
589.7611,-299.2315,33.5,5,5,33.5
599.7611,-299.2315,33.5,5,5,33.5
-240.2389,-289.2315,49.5,5,5,49.5
-230.2389,-289.2315,49.5,5,5,49.5
-220.2389,-289.2315,49.5,5,5,49.5
-210.2389,-289.2315,49.5,5,5,49.5
-200.2389,-289.2315,49.5,5,5,49.5
-150.2389,-289.2315,24,5,5,24
-140.2389,-289.2315,24,5,5,24
-130.2389,-289.2315,24,5,5,24
